"Step","drqv2/run4 - train/score","drqv2/run4 - train/score__MIN","drqv2/run4 - train/score__MAX","drqv2/run3 - train/score","drqv2/run3 - train/score__MIN","drqv2/run3 - train/score__MAX","drqv2/run2 - train/score","drqv2/run2 - train/score__MIN","drqv2/run2 - train/score__MAX","drqv2/run1 - train/score","drqv2/run1 - train/score__MIN","drqv2/run1 - train/score__MAX","drqv2/run0 - train/score","drqv2/run0 - train/score__MIN","drqv2/run0 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run4 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run4 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run4 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run3 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run3 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run3 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run2 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run2 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run2 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run1 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run1 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run1 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run0 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run0 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run0 - train/score__MAX"
"10","-93.92594909667969","-93.92594909667969","-93.92594909667969","-91.75022888183594","-91.75022888183594","-91.75022888183594","-90.0804443359375","-90.0804443359375","-90.0804443359375","-93.92594909667969","-93.92594909667969","-93.92594909667969","-94.25929260253906","-94.25929260253906","-94.25929260253906","","","","","","","","","","","","","","",""
"11","-96.90251159667969","-96.90251159667969","-96.90251159667969","-96.21440887451172","-96.21440887451172","-96.21440887451172","-96.6244125366211","-96.6244125366211","-96.6244125366211","-96.90251159667969","-96.90251159667969","-96.90251159667969","-97.44891357421875","-97.44891357421875","-97.44891357421875","","","","","","","","","","","","","","",""
"12","-93.53067016601562","-93.53067016601562","-93.53067016601562","-95.94496154785156","-95.94496154785156","-95.94496154785156","-93.46046447753906","-93.46046447753906","-93.46046447753906","-93.53067016601562","-93.53067016601562","-93.53067016601562","-96.25238037109375","-96.25238037109375","-96.25238037109375","","","","","","","","","","","","","","",""
"13","-87.60675048828125","-87.60675048828125","-87.60675048828125","-96.80143737792969","-96.80143737792969","-96.80143737792969","-95.48312377929688","-95.48312377929688","-95.48312377929688","-87.60675048828125","-87.60675048828125","-87.60675048828125","-90.16168975830078","-90.16168975830078","-90.16168975830078","","","","","","","","","","","","","","",""
"14","-82.47221374511719","-82.47221374511719","-82.47221374511719","-94.26323699951172","-94.26323699951172","-94.26323699951172","-85.12332153320312","-85.12332153320312","-85.12332153320312","-82.47221374511719","-82.47221374511719","-82.47221374511719","-93.71917724609375","-93.71917724609375","-93.71917724609375","","","","","","","","","","","","","","",""
"15","-86.7158203125","-86.7158203125","-86.7158203125","-93.87199401855469","-93.87199401855469","-93.87199401855469","-93.18771362304688","-93.18771362304688","-93.18771362304688","-86.7158203125","-86.7158203125","-86.7158203125","-95.69391632080078","-95.69391632080078","-95.69391632080078","","","","","","","","","","","","","","",""
"16","-90.0504150390625","-90.0504150390625","-90.0504150390625","-93.35787963867188","-93.35787963867188","-93.35787963867188","-79.18016052246094","-79.18016052246094","-79.18016052246094","-90.0504150390625","-90.0504150390625","-90.0504150390625","-95.0396499633789","-95.0396499633789","-95.0396499633789","","","","","","","","","","","","","","",""
"17","-86.39955139160156","-86.39955139160156","-86.39955139160156","-94.53353118896484","-94.53353118896484","-94.53353118896484","-84.26112365722656","-84.26112365722656","-84.26112365722656","-86.39928436279297","-86.39928436279297","-86.39928436279297","-95.10333251953125","-95.10333251953125","-95.10333251953125","","","","","","","","","","","","","","",""
"18","-93.18710327148438","-93.18710327148438","-93.18710327148438","-82.04859924316406","-82.04859924316406","-82.04859924316406","-93.056640625","-93.056640625","-93.056640625","-93.18716430664062","-93.18716430664062","-93.18716430664062","-81.81340026855469","-81.81340026855469","-81.81340026855469","","","","","","","","","","","","","","",""
"19","-97.25825500488281","-97.25825500488281","-97.25825500488281","-96.84848022460938","-96.84848022460938","-96.84848022460938","-91.92939758300781","-91.92939758300781","-91.92939758300781","-97.25825500488281","-97.25825500488281","-97.25825500488281","-94.6028823852539","-94.6028823852539","-94.6028823852539","","","","","","","","","","","","","","",""
