"Step","dreamerv3/medium/ih_15/room0/rotation/run4 - train/score","dreamerv3/medium/ih_15/room0/rotation/run4 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run4 - train/score__MAX","dreamerv3/medium/ih_15/room0/rotation/run3 - train/score","dreamerv3/medium/ih_15/room0/rotation/run3 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run3 - train/score__MAX","dreamerv3/medium/ih_15/room0/rotation/run2 - train/score","dreamerv3/medium/ih_15/room0/rotation/run2 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run2 - train/score__MAX","dreamerv3/medium/ih_15/room0/rotation/run1 - train/score","dreamerv3/medium/ih_15/room0/rotation/run1 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run1 - train/score__MAX","dreamerv3/medium/ih_15/room0/rotation/run0 - train/score","dreamerv3/medium/ih_15/room0/rotation/run0 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run0 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run4 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run4 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run4 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run3 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run3 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run3 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run2 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run2 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run2 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run1 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run1 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run1 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run0 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run0 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run0 - train/score__MAX"
"21","-80.02156690508127","-80.02156690508127","-80.02156690508127","-79.87366396188736","-79.87366396188736","-79.87366396188736","-26.59418185055256","-26.59418185055256","-26.59418185055256","-22.693125173449516","-22.693125173449516","-22.693125173449516","-84.90476465970278","-84.90476465970278","-84.90476465970278","-68.44047755887732","-68.44047755887732","-68.44047755887732","-89.72374564036727","-89.72374564036727","-89.72374564036727","-98.71258273720741","-98.71258273720741","-98.71258273720741","-75.81160700228065","-75.81160700228065","-75.81160700228065","-98.34495468437672","-98.34495468437672","-98.34495468437672"
"22","-84.56152225844562","-84.56152225844562","-84.56152225844562","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","","","","-91.77601611614227","-91.77601611614227","-91.77601611614227","-91.3788914680481","-91.3788914680481","-91.3788914680481","-92.75456934608519","-92.75456934608519","-92.75456934608519","-84.60070729255676","-84.60070729255676","-84.60070729255676","-89.70686294138432","-89.70686294138432","-89.70686294138432","-93.86290625482798","-93.86290625482798","-93.86290625482798","-96.9023002833128","-96.9023002833128","-96.9023002833128","-84.5060360096395","-84.5060360096395","-84.5060360096395","-90.91430178657174","-90.91430178657174","-90.91430178657174"
"24","-84.41752156615257","-84.41752156615257","-84.41752156615257","-95.15856236219406","-95.15856236219406","-95.15856236219406","-88.49171217158437","-88.49171217158437","-88.49171217158437","-76.31943104416132","-76.31943104416132","-76.31943104416132","-76.91627693921328","-76.91627693921328","-76.91627693921328","-37.68734831362963","-37.68734831362963","-37.68734831362963","-91.4382132217288","-91.4382132217288","-91.4382132217288","-95.71360921859741","-95.71360921859741","-95.71360921859741","-86.7827770113945","-86.7827770113945","-86.7827770113945","-79.17643715441227","-79.17643715441227","-79.17643715441227"
"25","-88.06683427840471","-88.06683427840471","-88.06683427840471","-90.54891975224018","-90.54891975224018","-90.54891975224018","-90.89266163110733","-90.89266163110733","-90.89266163110733","-69.96969078481197","-69.96969078481197","-69.96969078481197","-94.61053240299225","-94.61053240299225","-94.61053240299225","-91.75645890599117","-91.75645890599117","-91.75645890599117","-93.69903373718262","-93.69903373718262","-93.69903373718262","-93.91341760754585","-93.91341760754585","-93.91341760754585","-81.19401961565018","-81.19401961565018","-81.19401961565018","-93.49338248372078","-93.49338248372078","-93.49338248372078"
"26","-95.00121587514877","-95.00121587514877","-95.00121587514877","-78.60152527689934","-78.60152527689934","-78.60152527689934","-90.71332415938377","-90.71332415938377","-90.71332415938377","-85.12815748155117","-85.12815748155117","-85.12815748155117","-83.86455851793289","-83.86455851793289","-83.86455851793289","-96.12306840717793","-96.12306840717793","-96.12306840717793","-93.66634307056665","-93.66634307056665","-93.66634307056665","-96.84238916635513","-96.84238916635513","-96.84238916635513","-93.71480306982994","-93.71480306982994","-93.71480306982994","-96.73922128975391","-96.73922128975391","-96.73922128975391"
"27","-94.57478481531143","-94.57478481531143","-94.57478481531143","-82.74394345469773","-82.74394345469773","-82.74394345469773","-85.8981759250164","-85.8981759250164","-85.8981759250164","-68.6090297549963","-68.6090297549963","-68.6090297549963","-97.53381329774857","-97.53381329774857","-97.53381329774857","-98.34405273199081","-98.34405273199081","-98.34405273199081","-89.66858825925738","-89.66858825925738","-89.66858825925738","-94.20548783242702","-94.20548783242702","-94.20548783242702","-67.62870077043772","-67.62870077043772","-67.62870077043772","-95.68584125675261","-95.68584125675261","-95.68584125675261"
"28","-86.61400021985173","-86.61400021985173","-86.61400021985173","-93.73757234215736","-93.73757234215736","-93.73757234215736","-77.91232504695654","-77.91232504695654","-77.91232504695654","-90.2912230156362","-90.2912230156362","-90.2912230156362","-89.69220638275146","-89.69220638275146","-89.69220638275146","-90.56522163748741","-90.56522163748741","-90.56522163748741","-89.87103766575456","-89.87103766575456","-89.87103766575456","-96.50164547562599","-96.50164547562599","-96.50164547562599","-77.62920410558581","-77.62920410558581","-77.62920410558581","-93.27826237678528","-93.27826237678528","-93.27826237678528"
"29","-78.60836317017674","-78.60836317017674","-78.60836317017674","-88.32789149880409","-88.32789149880409","-88.32789149880409","-88.60650067031384","-88.60650067031384","-88.60650067031384","-21.839129492640495","-21.839129492640495","-21.839129492640495","-94.31295546889305","-94.31295546889305","-94.31295546889305","-93.15763197094202","-93.15763197094202","-93.15763197094202","-95.24824123084545","-95.24824123084545","-95.24824123084545","-93.76790112257004","-93.76790112257004","-93.76790112257004","-79.08093094080687","-79.08093094080687","-79.08093094080687","-86.97581514716148","-86.97581514716148","-86.97581514716148"
"30","-75.21123112738132","-75.21123112738132","-75.21123112738132","-92.48573637008667","-92.48573637008667","-92.48573637008667","-80.29279038310051","-80.29279038310051","-80.29279038310051","-70.63199054822326","-70.63199054822326","-70.63199054822326","-92.93757423013449","-92.93757423013449","-92.93757423013449","-93.08057977259159","-93.08057977259159","-93.08057977259159","-96.3502085506916","-96.3502085506916","-96.3502085506916","-95.99623444676399","-95.99623444676399","-95.99623444676399","-93.58270111680031","-93.58270111680031","-93.58270111680031","-88.3257277160883","-88.3257277160883","-88.3257277160883"
