"Step","dreamerv3/medium/ih_5/room0/run4 - train/score","dreamerv3/medium/ih_5/room0/run4 - train/score__MIN","dreamerv3/medium/ih_5/room0/run4 - train/score__MAX","dreamerv3/medium/ih_5/room0/run3 - train/score","dreamerv3/medium/ih_5/room0/run3 - train/score__MIN","dreamerv3/medium/ih_5/room0/run3 - train/score__MAX","dreamerv3/medium/ih_5/room0/run2 - train/score","dreamerv3/medium/ih_5/room0/run2 - train/score__MIN","dreamerv3/medium/ih_5/room0/run2 - train/score__MAX","dreamerv3/medium/ih_5/room0/run1 - train/score","dreamerv3/medium/ih_5/room0/run1 - train/score__MIN","dreamerv3/medium/ih_5/room0/run1 - train/score__MAX","dreamerv3/medium/ih_5/room0/run0 - train/score","dreamerv3/medium/ih_5/room0/run0 - train/score__MIN","dreamerv3/medium/ih_5/room0/run0 - train/score__MAX","dreamerv3/large/ih_15/room0/run4 - train/score","dreamerv3/large/ih_15/room0/run4 - train/score__MIN","dreamerv3/large/ih_15/room0/run4 - train/score__MAX","dreamerv3/large/ih_15/room0/run3 - train/score","dreamerv3/large/ih_15/room0/run3 - train/score__MIN","dreamerv3/large/ih_15/room0/run3 - train/score__MAX","dreamerv3/large/ih_15/room0/run2 - train/score","dreamerv3/large/ih_15/room0/run2 - train/score__MIN","dreamerv3/large/ih_15/room0/run2 - train/score__MAX","dreamerv3/large/ih_15/room0/run1 - train/score","dreamerv3/large/ih_15/room0/run1 - train/score__MIN","dreamerv3/large/ih_15/room0/run1 - train/score__MAX","dreamerv3/large/ih_15/room0/run0 - train/score","dreamerv3/large/ih_15/room0/run0 - train/score__MIN","dreamerv3/large/ih_15/room0/run0 - train/score__MAX"
"21","-60.898422211408615","-60.898422211408615","-60.898422211408615","-34.94769288599491","-34.94769288599491","-34.94769288599491","-73.62941640615463","-73.62941640615463","-73.62941640615463","-37.03398838452995","-37.03398838452995","-37.03398838452995","-61.85358842089772","-61.85358842089772","-61.85358842089772","-51.067901097238064","-51.067901097238064","-51.067901097238064","-52.518095165491104","-52.518095165491104","-52.518095165491104","-62.42272251844406","-62.42272251844406","-62.42272251844406","-76.37855687737465","-76.37855687737465","-76.37855687737465","-52.9678390622139","-52.9678390622139","-52.9678390622139"
"22","","","","-93.18516707420349","-93.18516707420349","-93.18516707420349","-92.12732243537903","-92.12732243537903","-92.12732243537903","-84.34270429611206","-84.34270429611206","-84.34270429611206","-69.38998065516353","-69.38998065516353","-69.38998065516353","","","","","","","","","","","","","","",""
"23","-56.55132731795311","-56.55132731795311","-56.55132731795311","","","","","","","","","","","","","-89.03226438164711","-89.03226438164711","-89.03226438164711","-81.82189047336578","-81.82189047336578","-81.82189047336578","-83.88666081428528","-83.88666081428528","-83.88666081428528","-77.87525486946106","-77.87525486946106","-77.87525486946106","-83.90510772168636","-83.90510772168636","-83.90510772168636"
"24","-56.27386578172445","-56.27386578172445","-56.27386578172445","-95.97669714689255","-95.97669714689255","-95.97669714689255","-89.1301277577877","-89.1301277577877","-89.1301277577877","-68.20294196158648","-68.20294196158648","-68.20294196158648","-86.9087328761816","-86.9087328761816","-86.9087328761816","-76.17268435657024","-76.17268435657024","-76.17268435657024","-61.39772592764348","-61.39772592764348","-61.39772592764348","-83.45304451882839","-83.45304451882839","-83.45304451882839","-66.90501603484154","-66.90501603484154","-66.90501603484154","-93.51576608419418","-93.51576608419418","-93.51576608419418"
"25","-81.05431138165295","-81.05431138165295","-81.05431138165295","-92.23950093984604","-92.23950093984604","-92.23950093984604","-90.6429426074028","-90.6429426074028","-90.6429426074028","-77.48283118009567","-77.48283118009567","-77.48283118009567","-82.14467778801918","-82.14467778801918","-82.14467778801918","-93.6243526339531","-93.6243526339531","-93.6243526339531","-75.22328698635101","-75.22328698635101","-75.22328698635101","-91.12044061720371","-91.12044061720371","-91.12044061720371","-79.68361288309097","-79.68361288309097","-79.68361288309097","-77.21736378967762","-77.21736378967762","-77.21736378967762"
"26","-91.22642201185226","-91.22642201185226","-91.22642201185226","-81.4083953499794","-81.4083953499794","-81.4083953499794","-93.16748410463333","-93.16748410463333","-93.16748410463333","-85.86543416976929","-85.86543416976929","-85.86543416976929","-93.13531303405762","-93.13531303405762","-93.13531303405762","-95.1230591237545","-95.1230591237545","-95.1230591237545","-81.91017448715866","-81.91017448715866","-81.91017448715866","-93.83582001924515","-93.83582001924515","-93.83582001924515","-67.55979268625379","-67.55979268625379","-67.55979268625379","-67.96131306886673","-67.96131306886673","-67.96131306886673"
"27","-89.08225491642952","-89.08225491642952","-89.08225491642952","-92.47460170090199","-92.47460170090199","-92.47460170090199","-90.59783172607422","-90.59783172607422","-90.59783172607422","-81.79223811626434","-81.79223811626434","-81.79223811626434","-85.90797101520002","-85.90797101520002","-85.90797101520002","-85.48929084837437","-85.48929084837437","-85.48929084837437","-85.15703517198563","-85.15703517198563","-85.15703517198563","-93.19203740358353","-93.19203740358353","-93.19203740358353","-74.58864842355251","-74.58864842355251","-74.58864842355251","-82.11857810616493","-82.11857810616493","-82.11857810616493"
"28","-90.05058419704437","-90.05058419704437","-90.05058419704437","-87.37275794148445","-87.37275794148445","-87.37275794148445","-85.8218952268362","-85.8218952268362","-85.8218952268362","-85.60316058248281","-85.60316058248281","-85.60316058248281","-84.01893097162247","-84.01893097162247","-84.01893097162247","-93.54335153102875","-93.54335153102875","-93.54335153102875","-76.78364495933056","-76.78364495933056","-76.78364495933056","-89.90061628818512","-89.90061628818512","-89.90061628818512","-92.23449002206326","-92.23449002206326","-92.23449002206326","-91.76618406176567","-91.76618406176567","-91.76618406176567"
"29","-68.08274318277836","-68.08274318277836","-68.08274318277836","-69.50291439890862","-69.50291439890862","-69.50291439890862","-92.84620839357376","-92.84620839357376","-92.84620839357376","-57.38500054553151","-57.38500054553151","-57.38500054553151","-86.59203937277198","-86.59203937277198","-86.59203937277198","-92.73011475801468","-92.73011475801468","-92.73011475801468","-59.378272235393524","-59.378272235393524","-59.378272235393524","-95.05990600585938","-95.05990600585938","-95.05990600585938","-87.10819685459137","-87.10819685459137","-87.10819685459137","-87.10180509090424","-87.10180509090424","-87.10180509090424"
"30","-88.83924400806427","-88.83924400806427","-88.83924400806427","-90.13792653381824","-90.13792653381824","-90.13792653381824","-89.69510200619698","-89.69510200619698","-89.69510200619698","-64.20843829587102","-64.20843829587102","-64.20843829587102","-82.32903897762299","-82.32903897762299","-82.32903897762299","-85.53132997453213","-85.53132997453213","-85.53132997453213","-93.61377531290054","-93.61377531290054","-93.61377531290054","-93.35399252176285","-93.35399252176285","-93.35399252176285","-91.35985805094242","-91.35985805094242","-91.35985805094242","-80.41523122426588","-80.41523122426588","-80.41523122426588"
"31","-53.370631924364716","-53.370631924364716","-53.370631924364716","-79.00843539834023","-79.00843539834023","-79.00843539834023","-88.91625952720642","-88.91625952720642","-88.91625952720642","45.162851518020034","45.162851518020034","45.162851518020034","-79.60978545248508","-79.60978545248508","-79.60978545248508","-90.94343219790608","-90.94343219790608","-90.94343219790608","-91.2068584561348","-91.2068584561348","-91.2068584561348","-96.09216302633286","-96.09216302633286","-96.09216302633286","-91.18480968661606","-91.18480968661606","-91.18480968661606","-91.3021334707737","-91.3021334707737","-91.3021334707737"
"32","-62.15577432513237","-62.15577432513237","-62.15577432513237","-92.56408017873764","-92.56408017873764","-92.56408017873764","-91.46142292022705","-91.46142292022705","-91.46142292022705","36.445476327091455","36.445476327091455","36.445476327091455","-87.71541342884302","-87.71541342884302","-87.71541342884302","-92.8641944527626","-92.8641944527626","-92.8641944527626","-94.34917801618576","-94.34917801618576","-94.34917801618576","-70.96789690852165","-70.96789690852165","-70.96789690852165","-87.11470305919647","-87.11470305919647","-87.11470305919647","-92.85757476091385","-92.85757476091385","-92.85757476091385"
"33","-77.64032781869173","-77.64032781869173","-77.64032781869173","-85.07391309738159","-85.07391309738159","-85.07391309738159","-86.09769663959742","-86.09769663959742","-86.09769663959742","19.969980608671904","19.969980608671904","19.969980608671904","-79.60018369928002","-79.60018369928002","-79.60018369928002","-83.49395887553692","-83.49395887553692","-83.49395887553692","-71.82336508482695","-71.82336508482695","-71.82336508482695","-83.38387979567051","-83.38387979567051","-83.38387979567051","-92.64245911035687","-92.64245911035687","-92.64245911035687","-86.87990911304951","-86.87990911304951","-86.87990911304951"
"34","-79.70735010504723","-79.70735010504723","-79.70735010504723","-86.18085752427578","-86.18085752427578","-86.18085752427578","-91.145706795156","-91.145706795156","-91.145706795156","19.252212792634964","19.252212792634964","19.252212792634964","-66.930914118886","-66.930914118886","-66.930914118886","-87.68161666765809","-87.68161666765809","-87.68161666765809","-94.51895195245743","-94.51895195245743","-94.51895195245743","-95.29294615983963","-95.29294615983963","-95.29294615983963","-89.13651847839355","-89.13651847839355","-89.13651847839355","-57.671027317643166","-57.671027317643166","-57.671027317643166"
"35","-66.61681687831879","-66.61681687831879","-66.61681687831879","-93.78470772504807","-93.78470772504807","-93.78470772504807","-79.1241652816534","-79.1241652816534","-79.1241652816534","-10.22352735325694","-10.22352735325694","-10.22352735325694","-95.57303568720818","-95.57303568720818","-95.57303568720818","-92.98362562060356","-92.98362562060356","-92.98362562060356","-80.11491273343563","-80.11491273343563","-80.11491273343563","-66.23312935233116","-66.23312935233116","-66.23312935233116","-87.93493726849556","-87.93493726849556","-87.93493726849556","-89.37584433332086","-89.37584433332086","-89.37584433332086"
"36","-89.12378090620041","-89.12378090620041","-89.12378090620041","-94.36397749185562","-94.36397749185562","-94.36397749185562","-87.86955669522285","-87.86955669522285","-87.86955669522285","-28.788284823298454","-28.788284823298454","-28.788284823298454","-89.57122331857681","-89.57122331857681","-89.57122331857681","-96.01131266355515","-96.01131266355515","-96.01131266355515","-93.32863283157349","-93.32863283157349","-93.32863283157349","-91.09532248973846","-91.09532248973846","-91.09532248973846","-94.06123247742653","-94.06123247742653","-94.06123247742653","-86.84164601564407","-86.84164601564407","-86.84164601564407"
"37","-62.9917738288641","-62.9917738288641","-62.9917738288641","-79.48391744494438","-79.48391744494438","-79.48391744494438","-87.81845259666443","-87.81845259666443","-87.81845259666443","-68.12058460526168","-68.12058460526168","-68.12058460526168","-90.10300405323505","-90.10300405323505","-90.10300405323505","-94.21330739557743","-94.21330739557743","-94.21330739557743","-94.51435986161232","-94.51435986161232","-94.51435986161232","-86.86725014448166","-86.86725014448166","-86.86725014448166","-92.96730899810791","-92.96730899810791","-92.96730899810791","-79.15531792212278","-79.15531792212278","-79.15531792212278"
"38","-56.22129810974002","-56.22129810974002","-56.22129810974002","-89.9727092385292","-89.9727092385292","-89.9727092385292","-67.61378967761993","-67.61378967761993","-67.61378967761993","-91.62921467423439","-91.62921467423439","-91.62921467423439","-87.17784053087234","-87.17784053087234","-87.17784053087234","-90.93646493554115","-90.93646493554115","-90.93646493554115","-71.88211166858673","-71.88211166858673","-71.88211166858673","-89.85719937086105","-89.85719937086105","-89.85719937086105","-86.91435635089874","-86.91435635089874","-86.91435635089874","-91.8158546090126","-91.8158546090126","-91.8158546090126"
"39","-55.7439247071743","-55.7439247071743","-55.7439247071743","-81.236094661057","-81.236094661057","-81.236094661057","-93.1764504313469","-93.1764504313469","-93.1764504313469","2.7851327657699585","2.7851327657699585","2.7851327657699585","-93.0202339142561","-93.0202339142561","-93.0202339142561","-93.92892876267433","-93.92892876267433","-93.92892876267433","-65.65731179714203","-65.65731179714203","-65.65731179714203","-88.51991934143007","-88.51991934143007","-88.51991934143007","-91.17481964826584","-91.17481964826584","-91.17481964826584","-92.25268667936325","-92.25268667936325","-92.25268667936325"
"40","-84.63675829768181","-84.63675829768181","-84.63675829768181","-92.3149973154068","-92.3149973154068","-92.3149973154068","-91.84361618757248","-91.84361618757248","-91.84361618757248","-34.9233084321022","-34.9233084321022","-34.9233084321022","-88.76657825708389","-88.76657825708389","-88.76657825708389","-94.71711630187929","-94.71711630187929","-94.71711630187929","-72.27754954993725","-72.27754954993725","-72.27754954993725","-89.13831448554993","-89.13831448554993","-89.13831448554993","-88.30330396443605","-88.30330396443605","-88.30330396443605","-95.1345927938819","-95.1345927938819","-95.1345927938819"
"41","-93.49473452568054","-93.49473452568054","-93.49473452568054","-90.23625081777573","-90.23625081777573","-90.23625081777573","-87.57964297011495","-87.57964297011495","-87.57964297011495","-85.2033212184906","-85.2033212184906","-85.2033212184906","-87.61289677023888","-87.61289677023888","-87.61289677023888","-90.11046549677849","-90.11046549677849","-90.11046549677849","-66.08861668407917","-66.08861668407917","-66.08861668407917","-83.5726346373558","-83.5726346373558","-83.5726346373558","-81.95119060575962","-81.95119060575962","-81.95119060575962","-92.7811037749052","-92.7811037749052","-92.7811037749052"
"42","-88.55430763959885","-88.55430763959885","-88.55430763959885","-79.69445967674255","-79.69445967674255","-79.69445967674255","-93.51422193646431","-93.51422193646431","-93.51422193646431","-73.61095348745584","-73.61095348745584","-73.61095348745584","-67.82252316991799","-67.82252316991799","-67.82252316991799","-84.36997690796852","-84.36997690796852","-84.36997690796852","-61.06634159386158","-61.06634159386158","-61.06634159386158","-89.37878282368183","-89.37878282368183","-89.37878282368183","-85.72122646868229","-85.72122646868229","-85.72122646868229","-82.56466084718704","-82.56466084718704","-82.56466084718704"
"43","-83.76627203822136","-83.76627203822136","-83.76627203822136","-94.46039962768555","-94.46039962768555","-94.46039962768555","-57.645595878362656","-57.645595878362656","-57.645595878362656","-79.15315070748329","-79.15315070748329","-79.15315070748329","-91.29009982477874","-91.29009982477874","-91.29009982477874","-92.57122874259949","-92.57122874259949","-92.57122874259949","-85.71919038891792","-85.71919038891792","-85.71919038891792","-75.19531130045652","-75.19531130045652","-75.19531130045652","-83.49747186899185","-83.49747186899185","-83.49747186899185","-89.58734625577927","-89.58734625577927","-89.58734625577927"
"44","-93.76297755539417","-93.76297755539417","-93.76297755539417","-92.52350962162018","-92.52350962162018","-92.52350962162018","-94.02283628284931","-94.02283628284931","-94.02283628284931","-31.86063250899315","-31.86063250899315","-31.86063250899315","-90.83572632074356","-90.83572632074356","-90.83572632074356","-93.08633351325989","-93.08633351325989","-93.08633351325989","-94.3872155547142","-94.3872155547142","-94.3872155547142","-88.90707102417946","-88.90707102417946","-88.90707102417946","-68.16450333315879","-68.16450333315879","-68.16450333315879","-92.86964337527752","-92.86964337527752","-92.86964337527752"
"45","-85.47436527907848","-85.47436527907848","-85.47436527907848","-75.02956185489893","-75.02956185489893","-75.02956185489893","-89.92672259733081","-89.92672259733081","-89.92672259733081","-95.57880371809006","-95.57880371809006","-95.57880371809006","-90.00056584179401","-90.00056584179401","-90.00056584179401","-88.73044237494469","-88.73044237494469","-88.73044237494469","-83.23128265142441","-83.23128265142441","-83.23128265142441","-78.73218920826912","-78.73218920826912","-78.73218920826912","-88.5134232416749","-88.5134232416749","-88.5134232416749","-91.74208521842957","-91.74208521842957","-91.74208521842957"
"46","-96.25605130195618","-96.25605130195618","-96.25605130195618","-92.23331877589226","-92.23331877589226","-92.23331877589226","-90.02297574281693","-90.02297574281693","-90.02297574281693","-95.19639766216278","-95.19639766216278","-95.19639766216278","-90.05241180839948","-90.05241180839948","-90.05241180839948","-94.33644905686378","-94.33644905686378","-94.33644905686378","-93.28403973579407","-93.28403973579407","-93.28403973579407","-92.47390606999397","-92.47390606999397","-92.47390606999397","-88.37108260765672","-88.37108260765672","-88.37108260765672","-95.18688803911209","-95.18688803911209","-95.18688803911209"
"47","-93.42589998245239","-93.42589998245239","-93.42589998245239","-86.57758341729641","-86.57758341729641","-86.57758341729641","-88.83114430308342","-88.83114430308342","-88.83114430308342","-78.73750711977482","-78.73750711977482","-78.73750711977482","-88.68550862371922","-88.68550862371922","-88.68550862371922","-91.86971932649612","-91.86971932649612","-91.86971932649612","-95.53761494159698","-95.53761494159698","-95.53761494159698","-91.8073943387717","-91.8073943387717","-91.8073943387717","-91.67514406144619","-91.67514406144619","-91.67514406144619","-87.03376160562038","-87.03376160562038","-87.03376160562038"
"48","-94.98796504735947","-94.98796504735947","-94.98796504735947","-81.14477457851171","-81.14477457851171","-81.14477457851171","-86.12293101847172","-86.12293101847172","-86.12293101847172","-84.96068555116653","-84.96068555116653","-84.96068555116653","-95.78720688819885","-95.78720688819885","-95.78720688819885","-95.73067128658295","-95.73067128658295","-95.73067128658295","-93.1825058311224","-93.1825058311224","-93.1825058311224","-92.665946027264","-92.665946027264","-92.665946027264","-91.73590373247862","-91.73590373247862","-91.73590373247862","-94.26675359904766","-94.26675359904766","-94.26675359904766"
"50","-91.46884208917618","-91.46884208917618","-91.46884208917618","-78.57720591127872","-78.57720591127872","-78.57720591127872","-97.95519477128983","-97.95519477128983","-97.95519477128983","-95.64329850673676","-95.64329850673676","-95.64329850673676","-88.23075799643993","-88.23075799643993","-88.23075799643993","-92.64091844111681","-92.64091844111681","-92.64091844111681","-95.13830743730068","-95.13830743730068","-95.13830743730068","-81.81831479072571","-81.81831479072571","-81.81831479072571","-90.92557652294636","-90.92557652294636","-90.92557652294636","-96.31136935949326","-96.31136935949326","-96.31136935949326"
"51","-90.29178467392921","-90.29178467392921","-90.29178467392921","-96.47833478450775","-96.47833478450775","-96.47833478450775","-95.47052584588528","-95.47052584588528","-95.47052584588528","-90.57073991000652","-90.57073991000652","-90.57073991000652","-78.30643743276596","-78.30643743276596","-78.30643743276596","-94.31553362309933","-94.31553362309933","-94.31553362309933","-97.29934045672417","-97.29934045672417","-97.29934045672417","-85.2121870815754","-85.2121870815754","-85.2121870815754","-86.29547168314457","-86.29547168314457","-86.29547168314457","-91.09144991636276","-91.09144991636276","-91.09144991636276"
"52","-85.09039801359177","-85.09039801359177","-85.09039801359177","-89.03575123846531","-89.03575123846531","-89.03575123846531","-95.27985435724258","-95.27985435724258","-95.27985435724258","-78.60164597630501","-78.60164597630501","-78.60164597630501","-91.06353037431836","-91.06353037431836","-91.06353037431836","-96.43944782018661","-96.43944782018661","-96.43944782018661","-83.94212937355042","-83.94212937355042","-83.94212937355042","-88.44918861985207","-88.44918861985207","-88.44918861985207","-95.10199284553528","-95.10199284553528","-95.10199284553528","-90.02398024499416","-90.02398024499416","-90.02398024499416"
"53","-95.07387632131577","-95.07387632131577","-95.07387632131577","-91.99933445453644","-91.99933445453644","-91.99933445453644","-90.83175583183765","-90.83175583183765","-90.83175583183765","-88.63849293906242","-88.63849293906242","-88.63849293906242","-89.3627286888659","-89.3627286888659","-89.3627286888659","-91.28828799072653","-91.28828799072653","-91.28828799072653","-93.50401312112808","-93.50401312112808","-93.50401312112808","-84.21858482062817","-84.21858482062817","-84.21858482062817","-90.6276375874877","-90.6276375874877","-90.6276375874877","-95.34418261051178","-95.34418261051178","-95.34418261051178"
"54","-86.35015198588371","-86.35015198588371","-86.35015198588371","-93.44457018375397","-93.44457018375397","-93.44457018375397","-83.4932784549892","-83.4932784549892","-83.4932784549892","-93.6189643740654","-93.6189643740654","-93.6189643740654","-94.44085758924484","-94.44085758924484","-94.44085758924484","-82.30290060071275","-82.30290060071275","-82.30290060071275","-85.90641763806343","-85.90641763806343","-85.90641763806343","-89.82479943335056","-89.82479943335056","-89.82479943335056","-77.46564533561468","-77.46564533561468","-77.46564533561468","-94.09047191310674","-94.09047191310674","-94.09047191310674"
"55","-92.33287534117699","-92.33287534117699","-92.33287534117699","-94.03675451874733","-94.03675451874733","-94.03675451874733","-94.4584958255291","-94.4584958255291","-94.4584958255291","-87.64814910292625","-87.64814910292625","-87.64814910292625","-83.03825724869967","-83.03825724869967","-83.03825724869967","-92.50569035857916","-92.50569035857916","-92.50569035857916","-96.41694658994675","-96.41694658994675","-96.41694658994675","-80.62099550664425","-80.62099550664425","-80.62099550664425","-93.02894422411919","-93.02894422411919","-93.02894422411919","-94.56801345944405","-94.56801345944405","-94.56801345944405"
"56","-88.78580873459578","-88.78580873459578","-88.78580873459578","-93.70178869366646","-93.70178869366646","-93.70178869366646","-86.02419811487198","-86.02419811487198","-86.02419811487198","-93.05405949056149","-93.05405949056149","-93.05405949056149","-93.69579321146011","-93.69579321146011","-93.69579321146011","-94.66851472854614","-94.66851472854614","-94.66851472854614","-93.05096784234047","-93.05096784234047","-93.05096784234047","-89.59950150549412","-89.59950150549412","-89.59950150549412","-91.40744471549988","-91.40744471549988","-91.40744471549988","-94.88442827761173","-94.88442827761173","-94.88442827761173"
