"Step","dreamerv3/medium/ih_15/room1/run4 - train/score","dreamerv3/medium/ih_15/room1/run4 - train/score__MIN","dreamerv3/medium/ih_15/room1/run4 - train/score__MAX","dreamerv3/medium/ih_15/room1/run3 - train/score","dreamerv3/medium/ih_15/room1/run3 - train/score__MIN","dreamerv3/medium/ih_15/room1/run3 - train/score__MAX","dreamerv3/medium/ih_15/room1/run2 - train/score","dreamerv3/medium/ih_15/room1/run2 - train/score__MIN","dreamerv3/medium/ih_15/room1/run2 - train/score__MAX","dreamerv3/medium/ih_15/room1/run1 - train/score","dreamerv3/medium/ih_15/room1/run1 - train/score__MIN","dreamerv3/medium/ih_15/room1/run1 - train/score__MAX","dreamerv3/medium/ih_15/room1/run0 - train/score","dreamerv3/medium/ih_15/room1/run0 - train/score__MIN","dreamerv3/medium/ih_15/room1/run0 - train/score__MAX","dreamerv3/medium/ih_25/room0/run4 - train/score","dreamerv3/medium/ih_25/room0/run4 - train/score__MIN","dreamerv3/medium/ih_25/room0/run4 - train/score__MAX","dreamerv3/medium/ih_25/room0/run3 - train/score","dreamerv3/medium/ih_25/room0/run3 - train/score__MIN","dreamerv3/medium/ih_25/room0/run3 - train/score__MAX","dreamerv3/medium/ih_25/room0/run2 - train/score","dreamerv3/medium/ih_25/room0/run2 - train/score__MIN","dreamerv3/medium/ih_25/room0/run2 - train/score__MAX","dreamerv3/medium/ih_25/room0/run1 - train/score","dreamerv3/medium/ih_25/room0/run1 - train/score__MIN","dreamerv3/medium/ih_25/room0/run1 - train/score__MAX","dreamerv3/medium/ih_25/room0/run0 - train/score","dreamerv3/medium/ih_25/room0/run0 - train/score__MIN","dreamerv3/medium/ih_25/room0/run0 - train/score__MAX"
"0","-64.86216187849641","-64.86216187849641","-64.86216187849641","-55.07559788227081","-55.07559788227081","-55.07559788227081","-50.161032021045685","-50.161032021045685","-50.161032021045685","-64.25969375669956","-64.25969375669956","-64.25969375669956","-50.75664883852005","-50.75664883852005","-50.75664883852005","-17.44509366992861","-17.44509366992861","-17.44509366992861","-33.88300406746566","-33.88300406746566","-33.88300406746566","2.7151603512465954","2.7151603512465954","2.7151603512465954","-27.29733607172966","-27.29733607172966","-27.29733607172966","-65.1470179259777","-65.1470179259777","-65.1470179259777"
"1","-58.09037175774574","-58.09037175774574","-58.09037175774574","-67.07533830404282","-67.07533830404282","-67.07533830404282","-41.17125067021698","-41.17125067021698","-41.17125067021698","-46.99887911975384","-46.99887911975384","-46.99887911975384","-88.9274201542139","-88.9274201542139","-88.9274201542139","-35.58699355088174","-35.58699355088174","-35.58699355088174","-2.335572477430105","-2.335572477430105","-2.335572477430105","-83.57408356666565","-83.57408356666565","-83.57408356666565","-47.21409684419632","-47.21409684419632","-47.21409684419632","-79.4332661665976","-79.4332661665976","-79.4332661665976"
"2","-77.28849742561579","-77.28849742561579","-77.28849742561579","1.1206063479185104","1.1206063479185104","1.1206063479185104","-3.7882750872522593","-3.7882750872522593","-3.7882750872522593","-80.081050388515","-80.081050388515","-80.081050388515","-25.5438566604862","-25.5438566604862","-25.5438566604862","-59.029769241809845","-59.029769241809845","-59.029769241809845","-41.51104553416371","-41.51104553416371","-41.51104553416371","-56.51439409167506","-56.51439409167506","-56.51439409167506","-56.115598518401384","-56.115598518401384","-56.115598518401384","-44.24981069564819","-44.24981069564819","-44.24981069564819"
"3","-30.94600275158882","-30.94600275158882","-30.94600275158882","-62.06523713469505","-62.06523713469505","-62.06523713469505","-42.44839224591851","-42.44839224591851","-42.44839224591851","-15.77852245233953","-15.77852245233953","-15.77852245233953","-69.88261869549751","-69.88261869549751","-69.88261869549751","-75.3497958779335","-75.3497958779335","-75.3497958779335","-52.33855676651001","-52.33855676651001","-52.33855676651001","-36.54229004587978","-36.54229004587978","-36.54229004587978","-57.43328516185284","-57.43328516185284","-57.43328516185284","-34.4485561195761","-34.4485561195761","-34.4485561195761"
"4","-86.9725029040128","-86.9725029040128","-86.9725029040128","-66.44935232400894","-66.44935232400894","-66.44935232400894","-58.86140708136372","-58.86140708136372","-58.86140708136372","-41.12572369351983","-41.12572369351983","-41.12572369351983","-60.65321224927902","-60.65321224927902","-60.65321224927902","-55.68656349182129","-55.68656349182129","-55.68656349182129","-56.96299493312836","-56.96299493312836","-56.96299493312836","-72.98154604434967","-72.98154604434967","-72.98154604434967","-61.300400257110596","-61.300400257110596","-61.300400257110596","8.268463842570782","8.268463842570782","8.268463842570782"
"5","-48.75397187285125","-48.75397187285125","-48.75397187285125","-34.380741752684116","-34.380741752684116","-34.380741752684116","-51.3299697637558","-51.3299697637558","-51.3299697637558","-64.7883141040802","-64.7883141040802","-64.7883141040802","-44.191422074101865","-44.191422074101865","-44.191422074101865","-72.00275808572769","-72.00275808572769","-72.00275808572769","-56.32487207651138","-56.32487207651138","-56.32487207651138","-46.057014029473066","-46.057014029473066","-46.057014029473066","-66.54736065864563","-66.54736065864563","-66.54736065864563","-28.96579358074814","-28.96579358074814","-28.96579358074814"
"6","-73.69753158092499","-73.69753158092499","-73.69753158092499","-67.36156858503819","-67.36156858503819","-67.36156858503819","-49.49401713907719","-49.49401713907719","-49.49401713907719","-33.526582673192024","-33.526582673192024","-33.526582673192024","-73.82623887062073","-73.82623887062073","-73.82623887062073","-67.3874773979187","-67.3874773979187","-67.3874773979187","-44.01960742473602","-44.01960742473602","-44.01960742473602","2.1040281672030687","2.1040281672030687","2.1040281672030687","-40.8762589590624","-40.8762589590624","-40.8762589590624","-61.095896661281586","-61.095896661281586","-61.095896661281586"
"7","-34.27004671096802","-34.27004671096802","-34.27004671096802","-67.37148681282997","-67.37148681282997","-67.37148681282997","-69.67980426549911","-69.67980426549911","-69.67980426549911","-42.19897496700287","-42.19897496700287","-42.19897496700287","-41.580384373664856","-41.580384373664856","-41.580384373664856","-34.71477454062551","-34.71477454062551","-34.71477454062551","-36.278385266661644","-36.278385266661644","-36.278385266661644","-60.30584096908569","-60.30584096908569","-60.30584096908569","38.90672115236521","38.90672115236521","38.90672115236521","-62.4694727063179","-62.4694727063179","-62.4694727063179"
"8","-58.72918325662613","-58.72918325662613","-58.72918325662613","-59.985725939273834","-59.985725939273834","-59.985725939273834","-67.11747795343399","-67.11747795343399","-67.11747795343399","-41.95067924261093","-41.95067924261093","-41.95067924261093","-34.01355929672718","-34.01355929672718","-34.01355929672718","-62.56731593608856","-62.56731593608856","-62.56731593608856","-35.6109231011942","-35.6109231011942","-35.6109231011942","-51.89041195809841","-51.89041195809841","-51.89041195809841","-38.020191291347146","-38.020191291347146","-38.020191291347146","-59.06655594706535","-59.06655594706535","-59.06655594706535"
"9","-62.87963646650314","-62.87963646650314","-62.87963646650314","4.0332907643169165","4.0332907643169165","4.0332907643169165","-68.17169487476349","-68.17169487476349","-68.17169487476349","-33.50831871852279","-33.50831871852279","-33.50831871852279","-55.54183352179825","-55.54183352179825","-55.54183352179825","-61.02657725289464","-61.02657725289464","-61.02657725289464","-69.00508046150208","-69.00508046150208","-69.00508046150208","-50.594472240656614","-50.594472240656614","-50.594472240656614","-66.39207450137474","-66.39207450137474","-66.39207450137474","-5.250801850110292","-5.250801850110292","-5.250801850110292"
