"Step","dreamerv3/small/ih_15/room0/run4 - train/score","dreamerv3/small/ih_15/room0/run4 - train/score__MIN","dreamerv3/small/ih_15/room0/run4 - train/score__MAX","dreamerv3/small/ih_15/room0/run3 - train/score","dreamerv3/small/ih_15/room0/run3 - train/score__MIN","dreamerv3/small/ih_15/room0/run3 - train/score__MAX","dreamerv3/small/ih_15/room0/run2 - train/score","dreamerv3/small/ih_15/room0/run2 - train/score__MIN","dreamerv3/small/ih_15/room0/run2 - train/score__MAX","dreamerv3/small/ih_15/room0/run1 - train/score","dreamerv3/small/ih_15/room0/run1 - train/score__MIN","dreamerv3/small/ih_15/room0/run1 - train/score__MAX","dreamerv3/small/ih_15/room0/run0 - train/score","dreamerv3/small/ih_15/room0/run0 - train/score__MIN","dreamerv3/small/ih_15/room0/run0 - train/score__MAX","dreamerv3/medium/ih_15/room0/run1 - train/score","dreamerv3/medium/ih_15/room0/run1 - train/score__MIN","dreamerv3/medium/ih_15/room0/run1 - train/score__MAX","dreamerv3/medium/ih_15/room0/run4 - train/score","dreamerv3/medium/ih_15/room0/run4 - train/score__MIN","dreamerv3/medium/ih_15/room0/run4 - train/score__MAX","dreamerv3/medium/ih_15/room0/run3 - train/score","dreamerv3/medium/ih_15/room0/run3 - train/score__MIN","dreamerv3/medium/ih_15/room0/run3 - train/score__MAX","dreamerv3/medium/ih_15/room0/run2 - train/score","dreamerv3/medium/ih_15/room0/run2 - train/score__MIN","dreamerv3/medium/ih_15/room0/run2 - train/score__MAX","dreamerv3/medium/ih_15/room0/run0 - train/score","dreamerv3/medium/ih_15/room0/run0 - train/score__MIN","dreamerv3/medium/ih_15/room0/run0 - train/score__MAX"
"21","38.14543007127941","38.14543007127941","38.14543007127941","-71.81365843117237","-71.81365843117237","-71.81365843117237","-53.765839979052544","-53.765839979052544","-53.765839979052544","-72.79339855909348","-72.79339855909348","-72.79339855909348","-65.07014638185501","-65.07014638185501","-65.07014638185501","-59.964219480752945","-59.964219480752945","-59.964219480752945","-92.0511961877346","-92.0511961877346","-92.0511961877346","-21.642353862524033","-21.642353862524033","-21.642353862524033","-50.949761271476746","-50.949761271476746","-50.949761271476746","-48.516335397958755","-48.516335397958755","-48.516335397958755"
"22","-85.00341328419745","-85.00341328419745","-85.00341328419745","-67.67824910581112","-67.67824910581112","-67.67824910581112","-92.65731209516525","-92.65731209516525","-92.65731209516525","-79.97572135925293","-79.97572135925293","-79.97572135925293","-91.58352382481098","-91.58352382481098","-91.58352382481098","-88.89549347758293","-88.89549347758293","-88.89549347758293","-66.43484188616276","-66.43484188616276","-66.43484188616276","-90.7377039194107","-90.7377039194107","-90.7377039194107","-95.68095630407333","-95.68095630407333","-95.68095630407333","-82.1091439248994","-82.1091439248994","-82.1091439248994"
"24","-79.57084703445435","-79.57084703445435","-79.57084703445435","-70.24904465675354","-70.24904465675354","-70.24904465675354","-88.45071303099394","-88.45071303099394","-88.45071303099394","-78.38607609272003","-78.38607609272003","-78.38607609272003","-95.6548935174942","-95.6548935174942","-95.6548935174942","-76.67438757419586","-76.67438757419586","-76.67438757419586","-60.83040323853493","-60.83040323853493","-60.83040323853493","-90.69654892385006","-90.69654892385006","-90.69654892385006","-95.70330655574799","-95.70330655574799","-95.70330655574799","-77.93298898637295","-77.93298898637295","-77.93298898637295"
"25","-42.35419802367687","-42.35419802367687","-42.35419802367687","-78.20260907709599","-78.20260907709599","-78.20260907709599","-88.9455446600914","-88.9455446600914","-88.9455446600914","-85.61282110214233","-85.61282110214233","-85.61282110214233","-91.96217206120491","-91.96217206120491","-91.96217206120491","-84.2980862930417","-84.2980862930417","-84.2980862930417","-90.50004115700722","-90.50004115700722","-90.50004115700722","-92.75869417190552","-92.75869417190552","-92.75869417190552","-94.671406686306","-94.671406686306","-94.671406686306","-72.65426278114319","-72.65426278114319","-72.65426278114319"
"26","-85.2880891263485","-85.2880891263485","-85.2880891263485","-91.80698710680008","-91.80698710680008","-91.80698710680008","-75.1395173072815","-75.1395173072815","-75.1395173072815","-83.12992829084396","-83.12992829084396","-83.12992829084396","-91.63427591323853","-91.63427591323853","-91.63427591323853","-70.92933497577906","-70.92933497577906","-70.92933497577906","-84.09937563538551","-84.09937563538551","-84.09937563538551","-79.22097446024418","-79.22097446024418","-79.22097446024418","-94.91084787249565","-94.91084787249565","-94.91084787249565","-90.57564213871956","-90.57564213871956","-90.57564213871956"
"27","-93.11400210857391","-93.11400210857391","-93.11400210857391","-89.86581519246101","-89.86581519246101","-89.86581519246101","-92.95584219694138","-92.95584219694138","-92.95584219694138","-87.06415569782257","-87.06415569782257","-87.06415569782257","-79.31121945381165","-79.31121945381165","-79.31121945381165","-82.03643833100796","-82.03643833100796","-82.03643833100796","-88.44923442602158","-88.44923442602158","-88.44923442602158","-79.77833938598633","-79.77833938598633","-79.77833938598633","-94.41142451763153","-94.41142451763153","-94.41142451763153","-84.0555045902729","-84.0555045902729","-84.0555045902729"
"28","-72.13674257230014","-72.13674257230014","-72.13674257230014","-92.98367765545845","-92.98367765545845","-92.98367765545845","-90.92736132442951","-90.92736132442951","-90.92736132442951","-75.83174112439156","-75.83174112439156","-75.83174112439156","-72.86625277996063","-72.86625277996063","-72.86625277996063","-88.39271855354309","-88.39271855354309","-88.39271855354309","-79.64181342720985","-79.64181342720985","-79.64181342720985","-84.08355164527893","-84.08355164527893","-84.08355164527893","-86.70071317255497","-86.70071317255497","-86.70071317255497","-86.70686819218099","-86.70686819218099","-86.70686819218099"
"29","-61.189356446266174","-61.189356446266174","-61.189356446266174","-71.85981841757894","-71.85981841757894","-71.85981841757894","-91.82957154512405","-91.82957154512405","-91.82957154512405","-91.97927123121917","-91.97927123121917","-91.97927123121917","-94.53779017925262","-94.53779017925262","-94.53779017925262","-64.57757657393813","-64.57757657393813","-64.57757657393813","-83.54486033320427","-83.54486033320427","-83.54486033320427","-92.9752826243639","-92.9752826243639","-92.9752826243639","-94.13594868779182","-94.13594868779182","-94.13594868779182","-84.84697288274765","-84.84697288274765","-84.84697288274765"
"30","-87.85355651378632","-87.85355651378632","-87.85355651378632","-96.28327709436417","-96.28327709436417","-96.28327709436417","-86.54871183633804","-86.54871183633804","-86.54871183633804","-83.10131974518299","-83.10131974518299","-83.10131974518299","-80.41612982749939","-80.41612982749939","-80.41612982749939","-87.39782571792603","-87.39782571792603","-87.39782571792603","-91.90158301591873","-91.90158301591873","-91.90158301591873","-92.42453254759312","-92.42453254759312","-92.42453254759312","-78.5304574817419","-78.5304574817419","-78.5304574817419","-67.64767853170633","-67.64767853170633","-67.64767853170633"
"31","-84.90745416283607","-84.90745416283607","-84.90745416283607","-87.19360469281673","-87.19360469281673","-87.19360469281673","-76.86264707148075","-76.86264707148075","-76.86264707148075","-92.52948397397995","-92.52948397397995","-92.52948397397995","-95.1169998049736","-95.1169998049736","-95.1169998049736","-84.30933502316475","-84.30933502316475","-84.30933502316475","-83.09234622865915","-83.09234622865915","-83.09234622865915","-89.04560086131096","-89.04560086131096","-89.04560086131096","-89.35244186408818","-89.35244186408818","-89.35244186408818","-84.0363622456789","-84.0363622456789","-84.0363622456789"
